"Domain Code","Domain","Element Code","Element","Unit"
"EF","Agri-Environmental Indicators: Fertilizers indicators","5159","Use per area of cropland","kg/ha"
"EMN","Agri-Environmental Indicators: Livestock Manure","72538","Amount excreted in manure (N content)","kg"
"EMN","Agri-Environmental Indicators: Livestock Manure","72539","Losses from manure treated (N content)","kg"
"EMN","Agri-Environmental Indicators: Livestock Manure","72381","Manure applied to soils (N content)","kg"
"EMN","Agri-Environmental Indicators: Livestock Manure","723812","Manure applied to soils that leaches (N content)","kg"
"EMN","Agri-Environmental Indicators: Livestock Manure","723811","Manure applied to soils that volatilises (N content)","kg"
"EMN","Agri-Environmental Indicators: Livestock Manure","72380","Manure left on pasture (N content)","kg"
"EMN","Agri-Environmental Indicators: Livestock Manure","723802","Manure left on pasture that leaches (N content)","kg"
"EMN","Agri-Environmental Indicators: Livestock Manure","723801","Manure left on pasture that volatilises (N content)","kg"
"EMN","Agri-Environmental Indicators: Livestock Manure","72386","Manure treated (N content)","kg"
"EMN","Agri-Environmental Indicators: Livestock Manure","5111","Stocks","Head"
"EK","Agri-Environmental Indicators: Livestock Patterns","7213","Livestock units per agricultural land area","LSU/ha"
"EK","Agri-Environmental Indicators: Livestock Patterns","7211","Share in total livestock","% of total LSU"
"EK","Agri-Environmental Indicators: Livestock Patterns","5118","Stocks","Livestock units (LSU)"
"AE","ASTI R&D Indicators: ASTI-Expenditures","6083","Share of Value Added (Agriculture, Forestry and Fishing)","%"
"AE","ASTI R&D Indicators: ASTI-Expenditures","6084","Spending, total","million PPP (constant 2011 prices)"
"AF","ASTI R&D Indicators: ASTI-Researchers","6086","Per 100,000 farmers","FTE"
"AF","ASTI R&D Indicators: ASTI-Researchers","6082","Researchers, total","FTE"
"EI","Climate Change: Emissions intensities","7231","Emissions (CO2eq)","gigagrams"
"EI","Climate Change: Emissions intensities","71761","Emissions intensity","kg CO2eq/kg product"
"EI","Climate Change: Emissions intensities","5510","Production","tonnes"
"EM","Climate Change: Emissions shares","7225","Emissions (CH4)","kilotonnes"
"EM","Climate Change: Emissions shares","7273","Emissions (CO2)","kilotonnes"
"EM","Climate Change: Emissions shares","723113","Emissions (CO2eq) (AR5)","kilotonnes"
"EM","Climate Change: Emissions shares","7274","Emissions (F-gases)","kilotonnes"
"EM","Climate Change: Emissions shares","7230","Emissions (N2O)","kilotonnes"
"EM","Climate Change: Emissions shares","7265","Emissions Share (CH4)","%"
"EM","Climate Change: Emissions shares","7264","Emissions Share (CO2)","%"
"EM","Climate Change: Emissions shares","726313","Emissions Share (CO2eq) (AR5)","%"
"EM","Climate Change: Emissions shares","7179","Emissions Share (F-gases)","%"
"EM","Climate Change: Emissions shares","7266","Emissions Share (N2O)","%"
"GT","Climate Change: Emissions Totals","7234","Direct emissions (N2O)","kilotonnes"
"GT","Climate Change: Emissions Totals","7225","Emissions (CH4)","kilotonnes"
"GT","Climate Change: Emissions Totals","7273","Emissions (CO2)","kilotonnes"
"GT","Climate Change: Emissions Totals","723113","Emissions (CO2eq) (AR5)","kilotonnes"
"GT","Climate Change: Emissions Totals","724413","Emissions (CO2eq) from CH4 (AR5)","kilotonnes"
"GT","Climate Change: Emissions Totals","724313","Emissions (CO2eq) from N2O (AR5)","kilotonnes"
"GT","Climate Change: Emissions Totals","7230","Emissions (N2O)","kilotonnes"
"GT","Climate Change: Emissions Totals","7236","Indirect emissions (N2O)","kilotonnes"
"GE","Climate Change: Enteric Fermentation","7225","Emissions (CH4)","kilotonnes"
"GE","Climate Change: Enteric Fermentation","5111","Stocks","Head"
"GI","Climate Change: Fires","7245","Biomass burned (dry matter)","tonnes"
"GI","Climate Change: Fires","7246","Burned Area","ha"
"GI","Climate Change: Fires","7225","Emissions (CH4)","kilotonnes"
"GI","Climate Change: Fires","7273","Emissions (CO2)","kilotonnes"
"GI","Climate Change: Fires","7230","Emissions (N2O)","kilotonnes"
"GF","Climate Change: Forests","5110","Area","1000 ha"
"GF","Climate Change: Forests","72332","Net emissions/removals (CO2) (Forest land)","kilotonnes"
"GM","Climate Change: Manure Management","72346","Direct emissions (N2O) (Manure management)","kilotonnes"
"GM","Climate Change: Manure Management","7225","Emissions (CH4)","kilotonnes"
"GM","Climate Change: Manure Management","7230","Emissions (N2O)","kilotonnes"
"GM","Climate Change: Manure Management","72366","Indirect emissions (N2O) (Manure management)","kilotonnes"
"GM","Climate Change: Manure Management","72386","Manure treated (N content)","kg"
"GM","Climate Change: Manure Management","5111","Stocks","Head"
"ET","Climate Change: Temperature change","6078","Standard Deviation","?C"
"ET","Climate Change: Temperature change","7271","Temperature change","?C"
"GTR","Climate Change: Transport","7225","Emissions (CH4)","kilotonnes"
"GTR","Climate Change: Transport","7273","Emissions (CO2)","kilotonnes"
"GTR","Climate Change: Transport","723113","Emissions (CO2eq) (AR5)","kilotonnes"
"GTR","Climate Change: Transport","7230","Emissions (N2O)","kilotonnes"
"GW","Climate Change: Waste Disposal","7225","Emissions (CH4)","kilotonnes"
"GW","Climate Change: Waste Disposal","7273","Emissions (CO2)","kilotonnes"
"GW","Climate Change: Waste Disposal","723114","Emissions (CO2eq) (AR4)","gigagrams"
"GW","Climate Change: Waste Disposal","723113","Emissions (CO2eq) (AR5)","kilotonnes"
"GW","Climate Change: Waste Disposal","723112","Emissions (CO2eq) (SAR)","gigagrams"
"GW","Climate Change: Waste Disposal","7230","Emissions (N2O)","kilotonnes"
"FA","Discontinued archives and data series: Food Aid Shipments (WFP)","500","Food aid received","tonnes"
"RM","Discontinued archives and data series: Machinery","5907","Export Quantity","No"
"RM","Discontinued archives and data series: Machinery","5922","Export Value","1000 US$"
"RM","Discontinued archives and data series: Machinery","5607","Import Quantity","No"
"RM","Discontinued archives and data series: Machinery","5622","Import Value","1000 US$"
"RM","Discontinued archives and data series: Machinery","5116","In Use","No"
"RY","Discontinued archives and data series: Machinery Archive","5907","Export Quantity","No"
"RY","Discontinued archives and data series: Machinery Archive","5922","Export Value","1000 US$"
"RY","Discontinued archives and data series: Machinery Archive","5607","Import Quantity","No"
"RY","Discontinued archives and data series: Machinery Archive","5622","Import Value","1000 US$"
"RY","Discontinued archives and data series: Machinery Archive","5116","In Use","No"
"GUNF","Emissions - Agriculture: GHG UNFCCC","5162","Agricultural Use in nutrients","kg of nutrients"
"GUNF","Emissions - Agriculture: GHG UNFCCC","5026","Area","ha"
"GUNF","Emissions - Agriculture: GHG UNFCCC","5312","Area harvested","ha"
"GUNF","Emissions - Agriculture: GHG UNFCCC","7245","Biomass burned (dry matter)","tonnes"
"GUNF","Emissions - Agriculture: GHG UNFCCC","7235","Direct emissions (CO2eq)","gigagrams"
